id,名前,税込価格,エネルギー,タンパク質,脂質,炭水化物,塩分,赤点,緑点,黄点
3233,ジャンボたらカツ（Big-size deep-fried cod）,352,387,22.8,18.8,29.8,1.0,1.0,0.1,3.8
3198,カツ煮（Pork cutlets cooked with beaten egg）,352,506,18.8,34.0,28.1,3.1,1.9,0.1,4.4
3168,ロースカツ（胡麻入りソース）（Pork loin cutlet (sauce containing sesame)）,352,427,15.4,25.4,32.0,2.7,1.5,0.1,3.6
3139,味噌カツ（Pork cutlets with miso sauce）,352,528,17.6,33.0,38.6,2.5,1.5,0.1,4.7
3209,おろしロースカツ（Pork cutlet with grated Japanese radish）,352,455,15.3,30.8,27.6,1.8,1.5,0.2,4.0
3235,味噌チゲ（Korean-style soy bean paste soup）,352,429,20.3,19.4,42.3,4.2,2.3,0.6,2.4
3232,ミートソースチキン（Grilled chicken with Bolognese sauce）,308,281,24.1,16.6,6.4,0.8,2.8,0.1,0.2
3192,チキン南蛮（Fried chicken with tartare sauce and Japanese sweet-sour sauce）,308,352,13.7,19.2,30.4,3.0,0.8,0.1,3.3
3208,揚げ鶏の香味ソース（Deep-fried chicken with flavorful sauce）,308,207,13.9,5.7,24.6,2.9,0.8,0.1,1.7
3230,デミソースハンバーグ（Hamburger steak with demiglace sauce）,308,308,17.2,14.6,27.5,3.0,1.6,0.3,1.9
3166,ササミチーズカツ（Chicken cutlet with cheese）,308,278,14.7,16.9,16.7,0.8,1.1,0.1,2.3
3144,チキンおろしダレ（Grilled chicken with grated Japanese radish sauce）,308,268,23.4,15.5,6.0,1.1,2.7,0.1,0.2
3231,煮込みハンバーグ（Simmered Hamburg steak）,308,320,17.4,14.9,29.9,3.4,1.6,0.3,2.1
3228,照りマヨハンバーグ（Hamburg steak with teriyaki sauce and mayonnaise）,308,342,17.8,17.4,28.5,3.0,1.7,0.3,2.2
3229,和風おろしハンバーグ（Hamburger steak with grated Japanese radish sauce）,308,274,17.5,13.3,22.0,3.1,1.6,0.4,1.4
3155,チキン照り焼きソース（Grilled chicken with teriyaki sauce）,308,286,23.9,15.5,9.9,1.4,2.8,0.1,0.4
3156,チキン塩ダレ（Grilled chicken with salt-based sauce）,308,294,23.2,18.3,6.4,1.7,2.7,0.1,0.6
3157,チキンカツカレーソース（Chicken cutlet with curry sauce）,308,364,17.0,23.9,20.6,2.5,2.0,0.2,2.7
3193,白身魚フライタルタルソース（Fried white meat fish with tartar sauce）,264,450,11.7,30.8,28.1,1.2,0.5,0.1,5.0
3151,アジの大葉フライ（Cutlets of horse mackerel wrapped in perilla）,264,283,12.2,16.5,20.7,0.5,0.7,0.1,2.8
3210,豚しょうが焼き（Gingerfried pork with shredded cabbage）,264,269,20.7,15.1,10.6,1.8,2.8,0.3,0.3
3211,豚キムチ炒め（Sauteed pork and kimchi(Korean pickles)）,264,185,12.6,7.7,15.0,1.8,1.4,0.4,0.3
3234,ホタテシチュー（Scallops and vegetables cream stew）,220,183,9.2,4.2,25.6,2.0,0.6,0.8,0.9
4302,白身フライ中華野菜あん（Deep-fried white fish with Chinese-style vegetable ankake sauce）,198,308,7.0,19.3,17.0,1.4,0.2,0.2,3.4
4280,おろし唐揚げ（Deep-fried chicken with grated white radish）,198,228,10.8,10.4,21.5,1.4,1.5,0.1,1.3
4281,豚生姜焼き（Ginger-fried pork）,198,238,18.5,13.7,8.0,1.6,2.5,0.2,0.3
4258,豚肉ピーマンいため（Sautéed pork and bell peppers）,198,146,8.1,7.3,12.2,1.6,0.8,0.4,0.6
4252,野菜いため（黒胡椒味）（Sautéed vegetables (Black pepper-flavored)）,198,134,7.3,7.0,11.0,0.8,0.8,0.3,0.4
4291,ミートソースハンバーグ（Hamburg steak with meat sauce）,198,252,15.6,15.2,12.4,1.3,1.6,0.1,1.1
4219,ハンバーグ（おろし）（Hamburger steak with grated Japanese radish sauce）,198,239,14.9,14.1,12.0,1.6,1.5,0.1,1.1
4220,ハンバーグ（塩だれ）（Hamburger steak with salt-based sauce）,198,265,14.7,16.9,12.4,2.2,1.5,0.1,1.5
4295,ぶり照り煮（Boiled yellowtail with soy sauce）,198,134,10.0,8.1,4.1,0.7,1.5,0.0,0.2
4057,サバ塩焼き（Mackerel grilled with salt）,198,319,16.9,26.3,0.4,2.3,2.7,0.0,0.0
4063,さば味噌煮（Mackerel simmered in miso）,198,209,10.0,15.0,6.8,0.8,1.4,0.0,0.3
4153,さば生姜煮（Mackerel stewed with ginger）,198,195,9.5,14.2,5.7,0.8,1.3,0.0,0.3
4257,野菜いため（塩味）（Sautéed vegetables (salt-flavored)）,198,153,6.8,9.5,10.2,1.2,0.8,0.3,0.8
4221,ハンバーグ（グレイビー）（Hamburg steak (with gravy)）,198,251,15.1,14.3,14.2,2.2,1.5,0.1,1.3
4284,ポーク焼肉（Yakiniku pork (grilled)）,198,249,18.3,14.4,9.1,1.5,2.5,0.2,0.5
4222,マーボー豆腐（Sichuan style bean curd）,176,160,9.9,9.5,9.0,1.9,1.1,0.0,0.7
4053,チキンチーズカツ（Chicken cutlet filled with cheese）,176,243,11.0,16.2,12.9,0.6,1.1,0.0,2.2
4203,フライドチキン（Fried chicken）,176,265,11.8,21.4,6.0,0.9,2.1,0.0,1.7
4236,マーボー茄子（Fried egg plant with Chinese chili sauce）,176,146,2.9,11.7,7.9,1.3,0.1,0.2,1.4
4285,厚揚げと白菜のすき煮（Boiled sukiyaki containing deep-fried tofu and Chinese cabbage）,176,130,7.2,6.3,12.1,0.8,0.7,0.2,0.3
4301,三陸産いわしフライ（Fried sardine of Sanriku）,176,302,9.5,23.6,11.1,0.2,0.9,0.0,2.9
4304,チーズじゃがもち（Cheese potato croquette）,132,251,1.2,14.2,23.3,0.3,0.1,0.3,2.8
4282,旨辛豆腐（Tofu and vegetables with chili sauce）,132,116,11.5,4.0,10.7,1.5,0.9,0.0,0.3
4283,バンバンジー豆腐（Bang bang chicken (shredded chicken with spicy sesame sauce) with tofu）,132,133,11.0,7.7,7.6,1.1,0.9,0.1,0.6
4259,茄子と大豆ミートの甘辛そぼろ（Eggplant and salty-sweet powdered soy meat）,132,138,3.5,9.8,9.8,0.5,0.2,0.3,1.3
4253,ポテトと大豆ミートのカレー和え（Potatoes and soybean-meat with curry）,132,110,3.3,4.3,15.8,0.5,0.1,0.7,0.5
4079,オクラの巣ごもりたまご（Soft-boiled egg with chopped okra）,132,115,8.4,6.4,6.1,0.9,1.0,0.2,0.2
4292,パリパリ春巻き（Crispy spring rolls）,132,297,3.9,21.9,20.7,1.0,0.2,0.1,3.2
4229,あじフライ（Fried horse mackerel）,132,321,9.4,24.0,14.4,0.6,1.4,0.0,3.4
4162,イカフライ（Fried squid）,132,208,9.5,12.0,14.0,0.8,0.6,0.0,3.2
